entry_time,entry_price,size,exit_time,exit_price,profit,status
2021-02-02,131.53372192382812,1,2021-02-16,129.9737091064453,1.5600128173828125,win
2021-03-17,121.747314453125,1,2021-03-19,117.09248352050781,4.6548309326171875,win
2021-03-24,117.19007110595703,1,2021-03-26,118.28302764892578,-1.09295654296875,loss
2021-04-01,120.0298080444336,1,2021-05-03,129.3394012451172,-9.309593200683594,loss
2021-06-08,123.88955688476562,1,2021-08-02,142.2471923828125,-18.357635498046875,loss
2021-08-03,144.04579162597656,1,2021-08-12,145.7594757080078,-1.71368408203125,loss
2021-08-13,145.9650421142578,1,2021-08-20,145.07420349121094,0.890838623046875,win
2021-08-23,146.56222534179688,1,2021-08-30,149.9005126953125,-3.338287353515625,loss
2021-08-31,148.6376495361328,1,2021-09-14,145.00564575195312,3.6320037841796875,win
2021-10-18,143.4686737060547,1,2021-11-15,147.0604248046875,-3.5917510986328125,loss
2021-11-16,148.04083251953125,1,2022-01-07,168.79598999023438,-20.755157470703125,loss
2022-01-13,168.8155975341797,1,2022-01-18,166.472412109375,2.3431854248046875,win
2022-02-02,172.39402770996094,1,2022-02-15,169.61962890625,2.7743988037109375,win
2022-02-16,169.38404846191406,1,2022-02-23,157.13302612304688,12.251022338867188,win
2022-03-22,165.72250366210938,1,2022-04-12,164.58380126953125,1.138702392578125,win
2022-06-01,146.1959686279297,1,2022-06-08,145.45864868164062,0.7373199462890625,win
2022-06-09,140.22857666015625,1,2022-06-13,129.65048217773438,10.578094482421875,win
2022-06-28,135.116455078125,1,2022-06-30,134.40867614746094,0.7077789306640625,win
2022-07-07,143.8758544921875,1,2022-08-30,156.44053649902344,-12.564682006835938,loss
2022-10-19,141.62440490722656,1,2022-10-20,141.16171264648438,0.4626922607421875,win
2022-10-25,149.97262573242188,1,2022-11-04,136.4555206298828,13.517105102539062,win
2022-11-14,146.2178497314453,1,2022-11-29,139.20675659179688,7.0110931396484375,win
2022-12-02,145.75440979003906,1,2022-12-08,140.66615295410156,5.0882568359375,win
2022-12-14,141.21841430664062,1,2022-12-15,134.6016845703125,6.616729736328125,win
